Location,Coordinates,Latitude,Longitude
"100 OTIS ST, Cambridge, MA","(42.37042685, -71.08264468168244)",42.37042685,-71.08264468168244
"400 RINDGE AVE, Cambridge, MA","(42.393763699999994, -71.13948064364068)",42.393763699999994,-71.13948064364068
"0 NORUMBEGA ST, Cambridge, MA","(42.3751452, -71.153088)",42.3751452,-71.153088
"FIFTH ST & GORE ST, Cambridge, MA","(None, None)",,
"600 Massachusetts Ave, Cambridge, MA","(42.364916, -71.1033079)",42.364916,-71.1033079
"100 CLIFTON ST, Cambridge, MA","(42.396425, -71.13665333961609)",42.396425,-71.13665333961609
"100 SEVENTH ST, Cambridge, MA","(42.370239, -71.085774)",42.370239,-71.085774
"500 Massachusetts Ave, Cambridge, MA","(42.36415712121212, -71.10177036363636)",42.36415712121212,-71.10177036363636
"0 Corcoran Ln, Cambridge, MA","(42.376719, -71.153757)",42.376719,-71.153757
"Rindge Ave & Jackson Pl, Cambridge, MA","(None, None)",,
"200 BENT ST, Cambridge, MA","(42.36722157075279, -71.08352398350542)",42.36722157075279,-71.08352398350542
"100 HARVEY ST, Cambridge, MA","(42.3972245, -71.13339535)",42.3972245,-71.13339535
"0 FULKERSON ST, Cambridge, MA","(42.3678314, -71.0878931)",42.3678314,-71.0878931
"800 Massachusetts Ave, Cambridge, MA","(42.366992, -71.106518)",42.366992,-71.106518
"0 FAWCETT ST, Cambridge, MA","(42.390872, -71.146094)",42.390872,-71.146094
"Memorial Dr & MAGAZINE ST, Cambridge, MA","(None, None)",,
"BENT ST & First St, Cambridge, MA","(None, None)",,
"100 FIFTH ST, Cambridge, MA","(42.369932, -71.083383)",42.369932,-71.083383
"0 LAMBERT ST, Cambridge, MA","(42.37251, -71.086775)",42.37251,-71.086775
"FIFTH ST & THORNDIKE ST, Cambridge, MA","(None, None)",,
"400 Massachusetts Ave, Cambridge, MA","(42.3631423, -71.10050805715468)",42.3631423,-71.10050805715468
"200 GREEN ST, Cambridge, MA","(42.3636597, -71.10263835472153)",42.3636597,-71.10263835472153
"100 Mount Auburn St, Cambridge, MA","(42.373619, -71.123896)",42.373619,-71.123896
"200 MAGAZINE ST, Cambridge, MA","(42.356707, -71.113585)",42.356707,-71.113585
"0 GRANITE ST, Cambridge, MA","(42.3568258, -71.1134836)",42.3568258,-71.1134836
"100 KIRKLAND ST, Cambridge, MA","(42.3779685, -71.1069488)",42.3779685,-71.1069488
"0 HILLIARD ST, Cambridge, MA","(42.374447, -71.123161)",42.374447,-71.123161
"0 JFK ST, Cambridge, MA","(None, None)",,
"0 THORNDIKE ST, Cambridge, MA","(42.3705518, -71.0873326)",42.3705518,-71.0873326
"1600 CAMBRIDGE ST, Cambridge, MA","(42.3735683, -71.0995524)",42.3735683,-71.0995524
"0 SPERIDAKIS TER, Cambridge, MA","(42.3604705, -71.1071644)",42.3604705,-71.1071644
"0 WATERHOUSE ST, Cambridge, MA","(42.3778187, -71.1204278)",42.3778187,-71.1204278
"CAMBRIDGE ST & THIRD ST, Cambridge, MA","(42.3710113, -71.0790634)",42.3710113,-71.0790634
"1300 Massachusetts Ave, Cambridge, MA","(42.3728124, -71.1172797)",42.3728124,-71.1172797
"ALLSTON ST & BROOKLINE ST, Cambridge, MA","(None, None)",,
"1200 Massachusetts Ave, Cambridge, MA","(42.37159215, -71.11537901564353)",42.37159215,-71.11537901564353
"300 PEARL ST, Cambridge, MA","(42.357386, -71.110381)",42.357386,-71.110381
"100 Cambridgeside Pl, Cambridge, MA","(42.3677346, -71.0761804)",42.3677346,-71.0761804
"700 Massachusetts Ave, Cambridge, MA","(42.366001, -71.104897)",42.366001,-71.104897
"CAMBRIDGE ST & FIRST ST, Cambridge, MA","(None, None)",,
"PLYMPTON ST & MILL ST, Cambridge, MA","(None, None)",,
"0 WATSON ST, Cambridge, MA","(42.3619102, -71.103991)",42.3619102,-71.103991
"100 SCHOOL ST, Cambridge, MA","(42.363911517322315, -71.0986204574218)",42.363911517322315,-71.0986204574218
"0 CHAUNCY ST, Cambridge, MA","(42.3796936, -71.1220887)",42.3796936,-71.1220887
"900 MAIN ST, Cambridge, MA","(42.363376, -71.100025)",42.363376,-71.100025
"GORHAM ST & MUSEUM ST, Cambridge, MA","(None, None)",,
"0 HURLEY ST, Cambridge, MA","(42.3684923, -71.0820568)",42.3684923,-71.0820568
"100 THORNDIKE ST, Cambridge, MA","(42.36975005, -71.08240112057062)",42.36975005,-71.08240112057062
"JFK ST & WINTHROP ST, Cambridge, MA","(None, None)",,
"0 FLORENCE ST, Cambridge, MA","(42.3581469, -71.1130322)",42.3581469,-71.1130322
"0 DANA ST, Cambridge, MA","(42.3707592, -71.1096429)",42.3707592,-71.1096429
"0 RAYMOND ST, Cambridge, MA","(42.3840458, -71.1255745)",42.3840458,-71.1255745
"500 TECHNOLOGY SQ, Cambridge, MA","(42.3634681, -71.0925929)",42.3634681,-71.0925929
"0 WARE ST, Cambridge, MA","(42.372823, -71.112949)",42.372823,-71.112949
"100 SMITH PL, Cambridge, MA","(42.3931397, -71.14992065774844)",42.3931397,-71.14992065774844
"0 LOWELL ST, Cambridge, MA","(42.3761877, -71.1333951)",42.3761877,-71.1333951
"Massachusetts Ave & SIDNEY ST, Cambridge, MA","(42.3626687, -71.0993294)",42.3626687,-71.0993294
"CLAY ST & RINDGE AVE, Cambridge, MA","(42.3935171, -71.1340775)",42.3935171,-71.1340775
"100 MONTGOMERY ST, Cambridge, MA","(42.3963105, -71.13341448452528)",42.3963105,-71.13341448452528
"0 JEFFERSON PARK, Cambridge, MA","(None, None)",,
"0 CENTRAL SQ, Cambridge, MA","(42.3655086, -71.1040007)",42.3655086,-71.1040007
"100 PLEASANT ST, Cambridge, MA","(42.361588, -71.11095)",42.361588,-71.11095
"700 CONCORD AVE, Cambridge, MA","(42.3870838, -71.1416735)",42.3870838,-71.1416735
"200 SHERMAN ST, Cambridge, MA","(42.393102400000004, -71.13264537823855)",42.393102400000004,-71.13264537823855
"400 CAMBRIDGE ST, Cambridge, MA","(42.37117155, -71.08260973430073)",42.37117155,-71.08260973430073
"0 NORMANDY AVE, Cambridge, MA","(42.3940909, -71.1562344)",42.3940909,-71.1562344
"100 Sixth St, Cambridge, MA","(42.3680945, -71.085450090337)",42.3680945,-71.085450090337
"100 SCIARAPPA ST, Cambridge, MA","(42.3689698, -71.08185434938909)",42.3689698,-71.08185434938909
"300 CHARLES ST, Cambridge, MA","(42.368191, -71.085777)",42.368191,-71.085777
"300 CONCORD AVE, Cambridge, MA","(42.383834, -71.134287)",42.383834,-71.134287
"CAMBRIDGE ST & SIXTH ST, Cambridge, MA","(42.3716057, -71.0849959)",42.3716057,-71.0849959
"0 TROWBRIDGE ST, Cambridge, MA","(42.3700529, -71.1130781)",42.3700529,-71.1130781
"200 FIRST ST, Cambridge, MA","(42.364455, -71.078292)",42.364455,-71.078292
"GARDEN ST & HURON AVE, Cambridge, MA","(None, None)",,
"200 HAMPSHIRE ST, Cambridge, MA","(42.366624900000005, -71.09097124353605)",42.366624900000005,-71.09097124353605
"DUNSTER ST & MOUNT AUBURN ST, Cambridge, MA","(None, None)",,
"Sidney St & MAIN ST, Cambridge, MA","(None, None)",,
"INMAN ST & ST MARY RD, Cambridge, MA","(None, None)",,
"100 LANGDON ST, Cambridge, MA","(42.3801498, -71.1216552)",42.3801498,-71.1216552
"200 ERIE ST, Cambridge, MA","(42.36022065, -71.1082363)",42.36022065,-71.1082363
"MOUNT AUBURN ST & PLYMPTON ST, Cambridge, MA","(None, None)",,
"0 HOLYOKE ST, Cambridge, MA","(42.3730046, -71.1179817)",42.3730046,-71.1179817
"0 MOUNT AUBURN ST, Cambridge, MA","(42.3748864, -71.1335442)",42.3748864,-71.1335442
"0 FRANCIS AVE, Cambridge, MA","(42.381342, -71.111409)",42.381342,-71.111409
"BOW ST & DEWOLFE ST, Cambridge, MA","(None, None)",,
"100 DANA ST, Cambridge, MA","(None, None)",,
"CAMBRIDGE ST & ELLERY ST, Cambridge, MA","(None, None)",,
"200 THIRD ST, Cambridge, MA","(42.367528, -71.081121)",42.367528,-71.081121
"100 MAGAZINE ST, Cambridge, MA","(42.360166250000006, -71.10968859973144)",42.360166250000006,-71.10968859973144
"100 MOUNT AUBURN ST, Cambridge, MA","(42.373619, -71.123896)",42.373619,-71.123896
"MAGAZINE ST & Lawrence St, Cambridge, MA","(None, None)",,
"0 VALENTINE ST, Cambridge, MA","(42.3603643, -71.1059598)",42.3603643,-71.1059598
"0 DUNSTER ST, Cambridge, MA","(42.3715383, -71.1197594)",42.3715383,-71.1197594
"0 Central Sq, Cambridge, MA","(42.3655086, -71.1040007)",42.3655086,-71.1040007
"100 PEARL ST, Cambridge, MA","(42.36227, -71.1050267663908)",42.36227,-71.1050267663908
"300 BROADWAY, Cambridge, MA","(42.3753263, -71.1152432)",42.3753263,-71.1152432
"200 CAMBRIDGE ST, Cambridge, MA","(40.02179, -81.573246)",40.02179,-81.573246
"GORE ST & LAMBERT ST, Cambridge, MA","(42.3730793, -71.0863025)",42.3730793,-71.0863025
"0 GARDEN TER, Cambridge, MA","(42.3826551, -71.1274482)",42.3826551,-71.1274482
"200 ALEWIFE BROOK PKY, Cambridge, MA","(42.3891156, -71.1417515)",42.3891156,-71.1417515
"600 CONCORD AVE, Cambridge, MA","(42.388989267073946, -71.14492799597595)",42.388989267073946,-71.14492799597595
"200 FIFTH ST, Cambridge, MA","(42.367227, -71.084021)",42.367227,-71.084021
"0 REED ST, Cambridge, MA","(42.3953155, -71.1321284)",42.3953155,-71.1321284
"0 GARDEN ST, Cambridge, MA","(42.3786705, -71.123952)",42.3786705,-71.123952
"0 REMINGTON ST, Cambridge, MA","(42.371245, -71.113353)",42.371245,-71.113353
"ASH ST & MOUNT AUBURN ST, Cambridge, MA","(None, None)",,
"0 APPIAN WAY, Cambridge, MA","(42.3754553, -71.1216136)",42.3754553,-71.1216136
"CHARLES ST & SECOND ST, Cambridge, MA","(None, None)",,
"300 BINNEY ST, Cambridge, MA","(42.36589965, -71.08798748126458)",42.36589965,-71.08798748126458
"RAYMOND ST & UPLAND RD, Cambridge, MA","(None, None)",,
"HARVARD ST & WARE ST, Cambridge, MA","(None, None)",,
"500 CAMBRIDGE ST, Cambridge, MA","(42.3735683, -71.0995524)",42.3735683,-71.0995524
"PERRY ST & MAGAZINE ST, Cambridge, MA","(None, None)",,
,"(46.3144754, 11.0480288)",46.3144754,11.0480288
"FULKERSON ST & ROGERS ST, Cambridge, MA","(None, None)",,
"CAMBRIDGE ST & FIFTH ST, Cambridge, MA","(None, None)",,
"ELLERY ST & HARVARD ST, Cambridge, MA","(None, None)",,
"300 MOUNT AUBURN ST, Cambridge, MA","(42.3743812, -71.1333758)",42.3743812,-71.1333758
"0 BROOKLINE ST, Cambridge, MA","(42.3638928, -71.1014899)",42.3638928,-71.1014899
"1100 Massachusetts Ave, Cambridge, MA","(42.37038095, -71.1136919924565)",42.37038095,-71.1136919924565
"HARVARD ST & REMINGTON ST, Cambridge, MA","(None, None)",,
"HARVARD ST & TROWBRIDGE ST, Cambridge, MA","(None, None)",,
"1000 Massachusetts Ave, Cambridge, MA","(42.36879415, -71.11090360807815)",42.36879415,-71.11090360807815
"200 OTIS ST, Cambridge, MA","(42.371132200000005, -71.08740517305804)",42.371132200000005,-71.08740517305804
"600 CAMBRIDGE ST, Cambridge, MA","(42.3717605, -71.0865198)",42.3717605,-71.0865198
"100 NORMANDY AVE, Cambridge, MA","(42.394210974809184, -71.15563661773841)",42.394210974809184,-71.15563661773841
"700 HURON AVE, Cambridge, MA","(42.3810224, -71.1544294)",42.3810224,-71.1544294
"300 Mount Auburn St, Cambridge, MA","(42.3743812, -71.1333758)",42.3743812,-71.1333758
"100 SIXTH ST, Cambridge, MA","(42.3680945, -71.085450090337)",42.3680945,-71.085450090337
"400 Rindge Ave, Cambridge, MA","(42.393763699999994, -71.13948064364068)",42.393763699999994,-71.13948064364068
"HAMPSHIRE ST & PROSPECT ST, Cambridge, MA","(None, None)",,
"1600 Massachusetts Ave, Cambridge, MA","(42.37965275, -71.1203634406549)",42.37965275,-71.1203634406549
"WINDSOR ST & Front St, Cambridge, MA","(None, None)",,
"FRANCIS AVE & KIRKLAND ST, Cambridge, MA","(None, None)",,
"300 CAMBRIDGE ST, Cambridge, MA","(40.02067387295216, -81.57401301728375)",40.02067387295216,-81.57401301728375
"0 WILLIAM ST, Cambridge, MA","(42.3635046, -71.1061404)",42.3635046,-71.1061404
"800 MAIN ST, Cambridge, MA","(42.363269, -71.098526)",42.363269,-71.098526
"100 INMAN ST, Cambridge, MA","(42.37161275, -71.10132865945451)",42.37161275,-71.10132865945451
"100 FRANCIS AVE, Cambridge, MA","(42.381342, -71.111409)",42.381342,-71.111409
"Massachusetts Ave & Garden St, Cambridge, MA","(None, None)",,
"FRANKLIN ST & MAGAZINE ST, Cambridge, MA","(None, None)",,
"0 FOLLEN ST, Cambridge, MA","(42.378577, -71.1221937)",42.378577,-71.1221937
"100 JFK ST, Cambridge, MA","(None, None)",,
"0 PLEASANT ST, Cambridge, MA","(42.3652452, -71.1067823)",42.3652452,-71.1067823
"0 FARRAR ST, Cambridge, MA","(42.378392, -71.109608)",42.378392,-71.109608
"100 AMORY ST, Cambridge, MA","(42.37164545, -71.10017287014587)",42.37164545,-71.10017287014587
"800 MEMORIAL DR, Cambridge, MA","(42.3551058, -71.0986357)",42.3551058,-71.0986357
"Massachusetts Ave & WATERHOUSE ST, Cambridge, MA","(42.3779995, -71.1203097)",42.3779995,-71.1203097
"APPIAN WAY & GARDEN ST, Cambridge, MA","(None, None)",,
"400 TECHNOLOGY SQ, Cambridge, MA","(42.36397465, -71.09194415249733)",42.36397465,-71.09194415249733
"100 SPRING ST, Cambridge, MA","(42.36916015, -71.08272651865478)",42.36916015,-71.08272651865478
"100 Reed St, Cambridge, MA","(42.39614605, -71.132334)",42.39614605,-71.132334
"800 CONCORD AVE, Cambridge, MA","(42.39092438697531, -71.15634951018518)",42.39092438697531,-71.15634951018518
"0 CONCORD AVE, Cambridge, MA","(42.3870838, -71.1416735)",42.3870838,-71.1416735
"0 JACKSON PL, Cambridge, MA","(42.393396, -71.1351544)",42.393396,-71.1351544
"100 JACKSON CIR, Cambridge, MA","(None, None)",,
"100 DUDLEY ST, Cambridge, MA","(42.395659, -71.133294)",42.395659,-71.133294
"100 LAWN ST, Cambridge, MA","(None, None)",,
"1000 MEMORIAL DR, Cambridge, MA","(42.3740559, -71.12606596132773)",42.3740559,-71.12606596132773
"200 SPRING ST, Cambridge, MA","(43.002589, -89.017139)",43.002589,-89.017139
"200 Spring St, Cambridge, MA","(43.002589, -89.017139)",43.002589,-89.017139
"0 SPARKS PL, Cambridge, MA","(None, None)",,
"0 REED STREET CT, Cambridge, MA","(42.395315, -71.1321997)",42.395315,-71.1321997
"Central Sq & Central Sq, Cambridge, MA","(42.3653334, -71.1036028)",42.3653334,-71.1036028
"0 TUFTS ST, Cambridge, MA","(42.3570781, -71.1109682)",42.3570781,-71.1109682
"Massachusetts Ave & PLEASANT ST, Cambridge, MA","(42.3667396, -71.1061129)",42.3667396,-71.1061129
"200 Massachusetts Ave, Cambridge, MA","(42.361967, -71.098124)",42.361967,-71.098124
"200 ALLSTON ST, Cambridge, MA","(42.35915927204048, -71.10926620842656)",42.35915927204048,-71.10926620842656
"500 BROADWAY, Cambridge, MA","(42.3623935, -71.0838147)",42.3623935,-71.0838147
"0 LOPEZ ST, Cambridge, MA","(42.3611383, -71.1041178)",42.3611383,-71.1041178
"300 PROSPECT ST, Cambridge, MA","(42.372638, -71.0984540277114)",42.372638,-71.0984540277114
"100 HAMILTON ST, Cambridge, MA","(42.358625, -71.106902)",42.358625,-71.106902
"BROOKLINE ST & Putnam Ave, Cambridge, MA","(42.357437, -71.107841)",42.357437,-71.107841
"0 GORHAM ST, Cambridge, MA","(42.3817747, -71.1150745)",42.3817747,-71.1150745
"AUBURN ST & PEARL ST, Cambridge, MA","(None, None)",,
"100 SECOND ST, Cambridge, MA","(42.36798, -71.07916)",42.36798,-71.07916
"100 ELLERY ST, Cambridge, MA","(42.3740432, -71.10861286288981)",42.3740432,-71.10861286288981
"0 ELMER ST, Cambridge, MA","(42.3658633, -71.1141639)",42.3658633,-71.1141639
"PLYMPTON ST & Mount Auburn St, Cambridge, MA","(None, None)",,
"400 THIRD ST, Cambridge, MA","(42.3643879, -71.0831669)",42.3643879,-71.0831669
"100 CAMBRIDGESIDE PL, Cambridge, MA","(42.3677346, -71.0761804)",42.3677346,-71.0761804
"0 BELLIS CIR, Cambridge, MA","(42.3904091, -71.1335179)",42.3904091,-71.1335179
"0 CANAL PARK, Cambridge, MA","(42.3680195, -71.0746449)",42.3680195,-71.0746449
"0 CAMBRIDGE CTR, Cambridge, MA","(42.3631574, -71.08710857429034)",42.3631574,-71.08710857429034
"0 PUTNAM AVE, Cambridge, MA","(42.3703161, -71.1133218)",42.3703161,-71.1133218
"200 MONSIGNOR OBRIEN HWY, Cambridge, MA","(None, None)",,
"0 LEIGHTON ST, Cambridge, MA","(42.3703962, -71.0734958)",42.3703962,-71.0734958
"0 EDUCATION ST, Cambridge, MA","(42.3697732, -71.069883)",42.3697732,-71.069883
"0 GLADSTONE ST, Cambridge, MA","(42.4006395, -71.1350612)",42.4006395,-71.1350612
"100 PLYMOUTH ST, Cambridge, MA","(None, None)",,
"MAIN ST & WADSWORTH ST, Cambridge, MA","(None, None)",,
"Wadsworth St & Main St, Cambridge, MA","(None, None)",,
"100 Church St, Cambridge, MA","(None, None)",,
"0 LANCASTER ST, Cambridge, MA","(42.3856172, -71.1201954)",42.3856172,-71.1201954
"100 ALPINE ST, Cambridge, MA","(42.38597215, -71.13640939097314)",42.38597215,-71.13640939097314
"0 IVY ST, Cambridge, MA","(42.38601, -71.1333847)",42.38601,-71.1333847
"0 SHERMAN ST, Cambridge, MA","(42.392283, -71.13281)",42.392283,-71.13281
"200 HARVARD ST, Cambridge, MA","(42.366999, -71.098046)",42.366999,-71.098046
"0 Kendall Sq, Cambridge, MA","(42.366669900000005, -71.09079785895635)",42.366669900000005,-71.09079785895635
"0 CREIGHTON ST, Cambridge, MA","(42.3908225, -71.1223636)",42.3908225,-71.1223636
"0 MARIE AVE, Cambridge, MA","(42.3738648, -71.1049669)",42.3738648,-71.1049669
"0 NEWTOWNE CT, Cambridge, MA","(42.36394275, -71.09497305495265)",42.36394275,-71.09497305495265
"900 Massachusetts Ave, Cambridge, MA","(42.36801555, -71.10860204990425)",42.36801555,-71.10860204990425
"200 COLUMBIA ST, Cambridge, MA","(42.3680722, -71.09699311033995)",42.3680722,-71.09699311033995
"2000 Massachusetts Ave, Cambridge, MA","(42.3902938, -71.1214537)",42.3902938,-71.1214537
"FRESH POND PKY & Kingsley Park, Cambridge, MA","(None, None)",,
"1800 Massachusetts Ave, Cambridge, MA","(42.3863527, -71.1195028670115)",42.3863527,-71.1195028670115
"600 Kendall St, Cambridge, MA","(42.3639168, -71.0832827)",42.3639168,-71.0832827
"BROADWAY & MAIN ST, Cambridge, MA","(42.3734603, -71.1111571)",42.3734603,-71.1111571
"0 EMILY ST, Cambridge, MA","(42.359734, -71.104194)",42.359734,-71.104194
"0 FOREST ST, Cambridge, MA","(42.3851783, -71.1160326)",42.3851783,-71.1160326
"0 SACRAMENTO ST, Cambridge, MA","(42.382547, -71.114593)",42.382547,-71.114593
"0 OXFORD ST, Cambridge, MA","(42.3838511, -71.1160763)",42.3838511,-71.1160763
"0 Brattle St, Cambridge, MA","(42.3733691, -71.1198973)",42.3733691,-71.1198973
"100 MAIN ST, Cambridge, MA","(None, None)",,
"0 COGSWELL AVE, Cambridge, MA","(42.3916809, -71.123998)",42.3916809,-71.123998
"100 SIDNEY ST, Cambridge, MA","(42.360203, -71.102502)",42.360203,-71.102502
"100 WASHINGTON ST, Cambridge, MA","(42.36386, -71.093373)",42.36386,-71.093373
"0 CRAIGIE CIR, Cambridge, MA","(42.3790089, -71.1271199)",42.3790089,-71.1271199
"0 ARNOLD CIR, Cambridge, MA","(42.3682565, -71.1083271)",42.3682565,-71.1083271
"300 RIVER ST, Cambridge, MA","(42.362139, -71.113654)",42.362139,-71.113654
"100 Massachusetts Ave, Cambridge, MA","(42.359372050000005, -71.09511353627846)",42.359372050000005,-71.09511353627846
"Massachusetts Ave & VASSAR ST, Cambridge, MA","(None, None)",,
"0 VASSAR ST, Cambridge, MA","(42.3606086, -71.0939635)",42.3606086,-71.0939635
"0 NORRIS ST, Cambridge, MA","(42.3954723, -71.1296261)",42.3954723,-71.1296261
"0 HOVEY AVE, Cambridge, MA","(42.3756641, -71.1076462)",42.3756641,-71.1076462
"0 PARKER ST, Cambridge, MA","(42.3798597, -71.128404)",42.3798597,-71.128404
"0 FENNO ST, Cambridge, MA","(42.3851492, -71.1302116)",42.3851492,-71.1302116
"HARVARD ST & LEE ST, Cambridge, MA","(None, None)",,
"2400 Massachusetts Ave, Cambridge, MA","(42.39709185, -71.1302566813872)",42.39709185,-71.1302566813872
"0 IRVING ST, Cambridge, MA","(42.3761076, -71.1108506)",42.3761076,-71.1108506
"0 LEONARD AVE, Cambridge, MA","(42.375361, -71.105679)",42.375361,-71.105679
"0 RIEDESEL AVE, Cambridge, MA","(42.3776116, -71.1315849)",42.3776116,-71.1315849
"0 CEDAR SQ, Cambridge, MA","(None, None)",,
"100 MAGNOLIA AVE, Cambridge, MA","(42.376645, -71.1059463)",42.376645,-71.1059463
"Chauncy St & Chauncy St, Cambridge, MA","(42.3796936, -71.1220887)",42.3796936,-71.1220887
"0 CEDAR ST, Cambridge, MA","(42.3957334, -71.1308532)",42.3957334,-71.1308532
"0 Craigie Cir, Cambridge, MA","(42.3790089, -71.1271199)",42.3790089,-71.1271199
"GORE ST & SCIARAPPA ST, Cambridge, MA","(None, None)",,
"0 CRAIGIE ST, Cambridge, MA","(42.3786787, -71.1278736)",42.3786787,-71.1278736
"100 LEXINGTON AVE, Cambridge, MA","(42.37871916139735, -71.14070751038719)",42.37871916139735,-71.14070751038719
"700 CAMBRIDGE ST, Cambridge, MA","(42.3738954, -71.1020854)",42.3738954,-71.1020854
"400 BINNEY ST, Cambridge, MA","(42.367062, -71.089381)",42.367062,-71.089381
"400 BROADWAY, Cambridge, MA","(42.3716121, -71.10734654357142)",42.3716121,-71.10734654357142
"200 HANCOCK ST, Cambridge, MA","(42.3708090173913, -71.1062797652174)",42.3708090173913,-71.1062797652174
"Massachusetts Ave & Massachusetts Ave, Cambridge, MA","(42.3721714, -71.1155522)",42.3721714,-71.1155522
"0 PLYMOUTH ST, Cambridge, MA","(42.369124, -71.092825)",42.369124,-71.092825
"0 HAWTHORNE ST, Cambridge, MA","(None, None)",,
"0 BOARDMAN ST, Cambridge, MA","(42.3670923, -71.0966093)",42.3670923,-71.0966093
"0 WARREN ST, Cambridge, MA","(42.372918, -71.088079)",42.372918,-71.088079
"900 CAMBRIDGE ST, Cambridge, MA","(42.3738954, -71.1020854)",42.3738954,-71.1020854
"300 BROOKLINE ST, Cambridge, MA","(42.3567467, -71.10843623995623)",42.3567467,-71.10843623995623
"DOUGLASS ST & Massachusetts Ave, Cambridge, MA","(None, None)",,
"300 HARVARD ST, Cambridge, MA","(42.369717, -71.106054)",42.369717,-71.106054
"300 Massachusetts Ave, Cambridge, MA","(42.3620855, -71.0988988)",42.3620855,-71.0988988
"300 SIDNEY ST, Cambridge, MA","(42.35564449776357, -71.1076503631611)",42.35564449776357,-71.1076503631611
"0 PEARL ST, Cambridge, MA","(42.3646241, -71.1026703)",42.3646241,-71.1026703
"700 MEMORIAL DR, Cambridge, MA","(42.3551058, -71.0986357)",42.3551058,-71.0986357
"BISHOP ALLEN DR & COLUMBIA ST, Cambridge, MA","(None, None)",,
"100 PROSPECT ST, Cambridge, MA","(42.3752663, -71.09646810321101)",42.3752663,-71.09646810321101
"0 LINNAEAN ST, Cambridge, MA","(42.3848284, -71.1194567)",42.3848284,-71.1194567
